ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
150.1,メガミュウツーX,ミュウツーX,,,エスパー,かくとう,ふくつのこころ,,,106,190,100,154,100,130,780,106 190 100 154 100 130 合計780,XY,カロス,6,いでんしポケモン,進化しない,禁止級伝説,メガシンカ,,,,
150.2,メガミュウツーY,メガミュウツー,,,エスパー,,ふみん,,,106,150,70,194,120,140,780,106 150 70 194 120 140 合計780,XY,カロス,6,いでんしポケモン,進化しない,禁止級伝説,メガシンカ,,,,
151,ミュウ,ミュー,,,エスパー,,シンクロ,,,100,100,100,100,100,100,600,100 100 100 100 100 100 合計600,RGBP,カントー,1,しんしゅポケモン,進化しない,幻のポケモン,,,Mew,夢幻,mutant(突然変異) + new(新しい) 
152,チコリータ,,,,くさ,,しんりょく,,リーフガード,45,49,65,49,65,45,318,45 49 65 49 65 45 合計318,GS,ジョウト,2,はっぱポケモン,進化前,パートナーポケモン,,,Chikorita,菊草葉,chicory(チコリー、キクニガナ) + ita(スペイン語で小さい)
153,ベイリーフ,,,,くさ,,しんりょく,,リーフガード,60,62,80,63,80,60,405,60 62 80 63 80 60 合計405,GS,ジョウト,2,はっぱポケモン,中間進化,パートナーポケモン,,,Bayleef,月桂葉,bay leaf(ベイリーフ(月桂樹の葉)、ローリエ)
154,メガニウム,,,,くさ,,しんりょく,,リーフガード,80,82,100,83,100,80,525,80 82 100 83 100 80 合計525,GS,ジョウト,2,ハーブポケモン,最終進化,パートナーポケモン,,,Meganium,大竺葵,mega (「大きい」の意) + geranium(ゼラニウム：多年草の園芸植物)
154.1,メガメガニウム,,,,くさ,フェアリー,,,,80,92,115,143,115,80,625,80 92 115 143 115 80 合計625,ZA,カロス,9,ハーブポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
155,ヒノアラシ,,,,ほのお,,もうか,,もらいび,39,52,43,60,50,65,309,39 52 43 60 50 65 合計309,GS,ジョウト,2,ひねずみポケモン,進化前,パートナーポケモン,,,Cyndaquil,火球鼠,cinder(燃え殻、消し炭) + quill(ヤマアラシなどの針、羽ペン)
156,マグマラシ,,,,ほのお,,もうか,,もらいび,58,64,58,80,65,80,405,58 64 58 80 65 80 合計405,GS,ジョウト,2,かざんポケモン,中間進化,パートナーポケモン,,,Quilava,火岩鼠,quill(ヤマアラシなどの針、羽ペン) + lava(溶岩)
157,バクフーン,,,,ほのお,,もうか,,もらいび,78,84,78,109,85,100,534,78 84 78 109 85 100 合計534,GS,ジョウト,2,かざんポケモン,最終進化,パートナーポケモン,,,Typhlosion,火爆獸,typhoon(台風) + explosion(爆発)
157.1,バクフーン(ヒスイのすがた),ヒスイバクフーン,,,ほのお,ゴースト,もうか,,おみとおし,73,84,78,119,85,95,534,73 84 78 119 85 95 合計534,LA,ヒスイ,8,おにびポケモン,最終進化,パートナーポケモン,リージョンフォーム,,,,
158,ワニノコ,,,,みず,,げきりゅう,,ちからずく,50,65,64,44,48,43,314,50 65 64 44 48 43 合計314,GS,ジョウト,2,おおあごポケモン,進化前,パートナーポケモン,,,Totodile,小鋸鱷,tot(小児) + crocodile(ワニ、クロコダイル)
159,アリゲイツ,,,,みず,,げきりゅう,,ちからずく,65,80,80,59,63,58,405,65 80 80 59 63 58 合計405,GS,ジョウト,2,おおあごポケモン,中間進化,パートナーポケモン,,,Croconaw,藍鱷,crocodile(ワニ) + gnaw(ガリガリかじる)
160,オーダイル,,,,みず,,げきりゅう,,ちからずく,85,105,100,79,83,78,530,85 105 100 79 83 78 合計530,GS,ジョウト,2,おおあごポケモン,最終進化,パートナーポケモン,,,Feraligatr,大力鱷,feral(凶暴な、野生の) + alligator(ワニ)
160.1,メガオーダイル,,,,みず,ドラゴン,,,,85,160,125,89,93,78,630,85 160 125 89 93 78 合計630,ZA,カロス,9,おおあごポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
161,オタチ,,,,ノーマル,,にげあし,するどいめ,おみとおし,35,46,34,35,45,20,215,35 46 34 35 45 20 合計215,GS,ジョウト,2,みはりポケモン,進化前,序盤ノーマル,,,Sentret,尾立,sentry(歩哨、哨兵、見張り番) + ferret(フェレット、捜す)
162,オオタチ,,,,ノーマル,,にげあし,するどいめ,おみとおし,85,76,64,45,55,90,415,85 76 64 45 55 90 合計415,GS,ジョウト,2,どうながポケモン,最終進化,序盤ノーマル,,,Furret,大尾立,fur(毛皮、毛皮製品) + ferret(フェレット、捜す)
163,ホーホー,,,,ノーマル,ひこう,ふみん,するどいめ,いろめがね,60,30,30,36,56,50,262,60 30 30 36 56 50 合計262,GS,ジョウト,2,ふくろうポケモン,進化前,序盤飛行,,,Hoothoot,咕咕,foot(足) + hoot(フクロウの鳴き声の擬声語)
164,ヨルノズク,,,,ノーマル,ひこう,ふみん,するどいめ,いろめがね,100,50,50,86,96,70,452,100 50 50 86 96 70 合計452,GS,ジョウト,2,ふくろうポケモン,最終進化,序盤飛行,,,Noctowl,貓頭夜鷹,nocturnal(夜行性) + owl(フクロウ)
165,レディバ,,,,むし,ひこう,むしのしらせ,はやおき,びびり,40,20,30,40,80,55,265,40 20 30 40 80 55 合計265,GS,ジョウト,2,いつつぼしポケモン,進化前,序盤虫,,,Ledyba,芭瓢蟲,red(赤、赤色) + ladybird(テントウムシ)
166,レディアン,,,,むし,ひこう,むしのしらせ,はやおき,てつのこぶし,55,35,50,55,110,85,390,55 35 50 55 110 85 合計390,GS,ジョウト,2,いつつぼしポケモン,最終進化,序盤虫,,,Ledian,安瓢蟲,ladybird(テントウムシ) + guardian(守護者、保護者)
167,イトマル,,,,むし,どく,むしのしらせ,ふみん,スナイパー,40,60,40,40,40,30,250,40 60 40 40 40 30 合計250,GS,ジョウト,2,いとはきポケモン,進化前,序盤虫,,,Spinarak,圓絲蛛,spin(紡ぐ) + arachnid(クモ形綱の動物)
168,アリアドス,,,,むし,どく,むしのしらせ,ふみん,スナイパー,70,90,70,60,70,40,400,70 90 70 60 70 40 合計400,GS,ジョウト,2,あしながポケモン,最終進化,序盤虫,,,Ariados,阿利多斯,arachnid(クモ形綱の動物) + 脅す(日本語)
169,クロバット,,,,どく,ひこう,せいしんりょく,,すりぬけ,85,90,80,70,80,130,535,85 90 80 70 80 130 合計535,GS,ジョウト,2,こうもりポケモン,最終進化,追加進化,,,Crobat,叉字蝠,cross(十字架、クロス) + bat(コウモリ)
170,チョンチー,,,,みず,でんき,ちくでん,はっこう,ちょすい,75,38,38,56,56,67,330,75 38 38 56 56 67 合計330,GS,ジョウト,2,あんこうポケモン,進化前,,,,Chinchou,燈籠魚,提灯、チョウチン
171,ランターン,,,,みず,でんき,ちくでん,はっこう,ちょすい,125,58,58,76,76,67,460,125 58 58 76 76 67 合計460,GS,ジョウト,2,ライトポケモン,最終進化,,,,Lanturn,電燈怪,lantern(ランタン、手提げランプ) + turn((電気を)つける)
172,ピチュー,,,,でんき,,せいでんき,,ひらいしん,20,40,15,35,35,60,205,20 40 15 35 35 60 合計205,GS,ジョウト,2,こねずみポケモン,進化前,ベイビィポケモン,,,Pichu,皮丘,光 + ちゅう(ネズミの擬声語)
173,ピィ,,,,フェアリー,,メロメロボディ,マジックガード,フレンドガード,50,25,28,45,55,15,218,50 25 28 45 55 15 合計218,GS,ジョウト,2,ほしがたポケモン,進化前,ベイビィポケモン,,,Cleffa,皮寶寶,clef(音部記号)
174,ププリン,,,,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,90,30,15,40,20,15,210,90 30 15 40 20 15 合計210,GS,ジョウト,2,ふうせんポケモン,進化前,ベイビィポケモン,,,Igglybuff,寶寶丁,jiggly or wiggly(揺れ動く) + puff(プット吹く、フワッとふくれたもの)
175,トゲピー,,,,フェアリー,,はりきり,てんのめぐみ,きょううん,35,20,65,40,65,20,245,35 20 65 40 65 20 合計245,GS,ジョウト,2,はりたまポケモン,進化前,ベイビィポケモン,,,Togepi,波克比,トゲ + happy(幸せ)
176,トゲチック,,,,フェアリー,ひこう,はりきり,てんのめぐみ,きょううん,55,40,85,80,105,40,405,55 40 85 80 105 40 合計405,GS,ジョウト,2,しあわせポケモン,中間進化,,,,Togetic,波克基古,トゲ + chick(ひよこ)
177,ネイティ,,,,エスパー,ひこう,シンクロ,はやおき,マジックミラー,40,50,45,70,45,70,320,40 50 45 70 45 70 合計320,GS,ジョウト,2,ことりポケモン,進化前,,,,Natu,天然雀,nature(自然)
178,ネイティオ,トゥートゥー,,,エスパー,ひこう,シンクロ,はやおき,マジックミラー,65,75,70,95,70,95,470,65 75 70 95 70 95 合計470,GS,ジョウト,2,せいれいポケモン,最終進化,,,,Xatu,天然鳥,xat(トーテムポール) + nature(自然)
179,メリープ,,,,でんき,,せいでんき,,プラス,55,40,40,65,45,35,280,55 40 40 65 45 35 合計280,GS,ジョウト,2,わたげポケモン,進化前,,,,Mareep,咩利羊,Mary(メリーさんのひつじ) + sheep(羊)
180,モココ,,,,でんき,,せいでんき,,プラス,70,55,55,80,60,45,365,70 55 55 80 60 45 合計365,GS,ジョウト,2,わたげポケモン,中間進化,,,,Flaaffy,茸茸羊,fluffy(ふわふわした、綿毛の) + baa(擬声語：ヒツジの鳴き声)
181,デンリュウ,,,,でんき,,せいでんき,,プラス,90,75,85,115,90,55,510,90 75 85 115 90 55 合計510,GS,ジョウト,2,ライトポケモン,最終進化,,,,Ampharos,電龍,ampere(アンペア：電流の SI 基本単位) + pharos(ファロス島の大灯台)
181.1,メガデンリュウ,,,,でんき,ドラゴン,かたやぶり,,,90,95,105,165,110,45,610,90 95 105 165 110 45 合計610,XY,カロス,6,ライトポケモン,最終進化,,メガシンカ,,,,
182,キレイハナ,,,,くさ,,ようりょくそ,,いやしのこころ,75,80,95,90,100,50,490,75 80 95 90 100 50 合計490,GS,ジョウト,2,フラワーポケモン,最終進化,追加進化,,,Bellossom,美麗花,bella(スペイン語でかわいい) + blossom(花)
183,マリル,,,,みず,フェアリー,あついしぼう,ちからもち,そうしょく,70,20,50,20,50,40,250,70 20 50 20 50 40 合計250,GS,ジョウト,2,みずねずみポケモン,中間進化,,,,Marill,瑪力露,marine(海の、海に住む) + rill(小川、細流)
184,マリルリ,,,,みず,フェアリー,あついしぼう,ちからもち,そうしょく,100,50,80,60,80,50,420,100 50 80 60 80 50 合計420,GS,ジョウト,2,みずうさぎポケモン,最終進化,,,,Azumarill,瑪力露麗,azure(空色、青空) + rill(小川、細流)
185,ウソッキー,,,,いわ,,がんじょう,いしあたま,びびり,70,100,115,30,65,30,410,70 100 115 30 65 30 合計410,GS,ジョウト,2,まねポケモン,最終進化,,,,Sudowoodo,樹才怪,pseudo(偽りの、にせの) + wood(材木、木材
186,ニョロトノ,トノ,,,みず,,ちょすい,しめりけ,あめふらし,90,75,75,90,100,70,500,90 75 75 90 100 70 合計500,GS,ジョウト,2,かえるポケモン,最終進化,通信進化,追加進化,,Politoed,蚊香蛙皇,polliwog(オタマジャクシ) + toad(ヒキガエル)
187,ハネッコ,,,,くさ,ひこう,ようりょくそ,リーフガード,すりぬけ,35,35,40,35,55,50,250,35 35 40 35 55 50 合計250,GS,ジョウト,2,わたくさポケモン,進化前,,,,Hoppip,毽子草,hop(ひょいと跳ぶ、ぴょんぴょん跳ぶ) + pip((リンゴ・ナシなどの)種)
188,ポポッコ,,,,くさ,ひこう,ようりょくそ,リーフガード,すりぬけ,55,45,50,45,65,80,340,55 45 50 45 65 80 合計340,GS,ジョウト,2,わたくさポケモン,中間進化,,,,Skiploom,毽子花,skip(スキップする) + bloom(花)
189,ワタッコ,,,,くさ,ひこう,ようりょくそ,リーフガード,すりぬけ,75,55,70,55,95,110,460,75 55 70 55 95 110 合計460,GS,ジョウト,2,わたくさポケモン,最終進化,,,,Jumpluff,毽子棉,jump(ジャンプ、ジャンプする) + fluff(綿毛、ふわふわしたもの)
190,エイパム,,,,ノーマル,,にげあし,ものひろい,スキルリンク,55,70,55,40,55,85,360,55 70 55 40 55 85 合計360,GS,ジョウト,2,おながポケモン,進化前,,,,Aipom,長尾怪手,ape(類人猿、サル) + palm(手のひら)
191,ヒマナッツ,,,,くさ,,ようりょくそ,サンパワー,はやおき,30,30,30,30,30,30,180,30 30 30 30 30 30 合計180,GS,ジョウト,2,たねポケモン,進化前,,,,Sunkern,向日種子,sunflower(ヒマワリ) + kernel(穀粒、仁)
192,キマワリ,太陽神,,,くさ,,ようりょくそ,サンパワー,はやおき,75,75,55,105,85,30,425,75 75 55 105 85 30 合計425,GS,ジョウト,2,たいようポケモン,最終進化,,,,Sunflora,向日花怪,sunflower(ヒマワリ) + flora(植物相、植物区形)
193,ヤンヤンマ,,,,むし,ひこう,かそく,ふくがん,おみとおし,65,65,45,75,45,95,390,65 65 45 75 45 95 合計390,GS,ジョウト,2,うすばねポケモン,進化前,,,,Yanma,蜻蜻蜓,ヤンマ(トンボの一種)
194,ウパー,,,,みず,じめん,しめりけ,ちょすい,てんねん,55,45,45,25,25,15,210,55 45 45 25 25 15 合計210,GS,ジョウト,2,みずうおポケモン,進化前,,,,Wooper,烏波,ウーパールーパー(axolotl)
194.1,ウパー(パルデアのすがた),パルデアウパー,,,どく,じめん,どくのトゲ,ちょすい,てんねん,55,45,45,25,25,15,210,55 45 45 25 25 15 合計210,SV,パルデア,9,,進化前,,リージョンフォーム,,,,
195,ヌオー,,,,みず,じめん,しめりけ,ちょすい,てんねん,95,85,85,65,65,35,430,95 85 85 65 65 35 合計430,GS,ジョウト,2,みずうおポケモン,最終進化,,,,Quagsire,沼王,quagmire(沼地、じめじめした土地、苦境) + sire(陛下、オスの親)
196,エーフィ,,,,エスパー,,シンクロ,,マジックミラー,65,65,60,130,95,110,525,65 65 60 130 95 110 合計525,GS,ジョウト,2,たいようポケモン,最終進化,イーブイフレンズ,追加進化,,Espeon,太陽伊布,ESP(挺能力) + eon(無限に長い期間、永遠)
197,ブラッキー,,,,あく,,シンクロ,,せいしんりょく,95,65,110,60,130,65,525,95 65 110 60 130 65 合計525,GS,ジョウト,2,げっこうポケモン,最終進化,イーブイフレンズ,追加進化,,Umbreon,月亮伊布,umbra(陰、暗影部、アンブラ) + eon(無限に長い期間、永遠)
198,ヤミカラス,,,,あく,ひこう,ふみん,きょううん,いたずらごころ,60,85,42,85,42,91,405,60 85 42 85 42 91 合計405,GS,ジョウト,2,くらやみポケモン,進化前,,,,Murkrow,黑暗鴉,murky(暗くて陰気な、濃い) + crow(カラス)
199,ヤドキング,,,,みず,エスパー,どんかん,マイペース,さいせいりょく,95,75,80,100,110,30,490,95 75 80 100 110 30 合計490,GS,ジョウト,2,おうじゃポケモン,最終進化,通信進化,追加進化,,Slowking,呆呆王,slow(遅い) + king(王様、君主)
199.1,ヤドキング(ガラルのすがた),ガラルヤドキング,,,どく,エスパー,きみょうなくすり,マイペース,さいせいりょく,95,65,80,110,110,30,490,95 65 80 110 110 30 合計490,冠の雪原,ガラル,8,じゅじゅつしポケモン,最終進化,通信進化,リージョンフォーム,追加進化,,,
200,ムウマ,,,,ゴースト,,ふゆう,,,60,60,60,85,85,85,435,60 60 60 85 85 85 合計435,GS,ジョウト,2,よなきポケモン,進化前,,,,Misdreavus,夢妖,mischievous(いたずら好きな) + dream(夢)
201,アンノーン,,,,エスパー,,ふゆう,,,48,72,48,72,48,48,336,48 72 48 72 48 48 合計336,GS,ジョウト,2,シンボルポケモン,進化しない,,,,Unown,未知圖騰,unknown(未知の、無名の) + own(自分自身の)
202,ソーナンス,ナンス,,,エスパー,,かげふみ,,テレパシー,190,33,58,33,58,33,405,190 33 58 33 58 33 合計405,GS,ジョウト,2,がまんポケモン,最終進化,,,,Wobbuffet,果然翁,wobble(ぐらぐらする、動揺する) + buffet(打撃、虐待、ビュッフェ)
203,キリンリキ,,,,ノーマル,エスパー,せいしんりょく,はやおき,そうしょく,70,80,65,90,65,85,455,70 80 65 90 65 85 合計455,GS,ジョウト,2,くびながポケモン,進化前,,,,Girafarig,麒麟奇,giraffe(キリン)
204,クヌギダマ,,,,むし,,がんじょう,,ぼうじん,50,65,90,35,35,15,290,50 65 90 35 35 15 合計290,GS,ジョウト,2,みのむしポケモン,進化前,,,,Pineco,榛果球,pine corn(マツボックリ) 
205,フォレトス,,,,むし,はがね,がんじょう,,ぼうじん,75,90,140,60,60,40,465,75 90 140 60 60 40 合計465,GS,ジョウト,2,みのむしポケモン,最終進化,,,,Forretress,佛烈托斯,fortress(要塞) + forest(森)
206,ノコッチ,,,,ノーマル,,てんのめぐみ,にげあし,びびり,100,70,70,65,65,45,415,100 70 70 65 65 45 合計415,GS,ジョウト,2,つちへびポケモン,進化前,,,,Dunsparce,土龍弟弟,dun(灰褐色) + sparse(まばらな、希薄な)
207,グライガー,,,,じめん,ひこう,かいりきバサミ,すながくれ,めんえき,65,75,105,35,65,85,430,65 75 105 35 65 85 合計430,GS,ジョウト,2,とびさそりポケモン,進化前,,,,Gligar,天蠍,glide(滑走する) + gargoyle(ガーゴイル)
208,ハガネール,,,,はがね,じめん,いしあたま,がんじょう,ちからずく,75,85,200,55,65,30,510,75 85 200 55 65 30 合計510,GS,ジョウト,2,てつへびポケモン,最終進化,通信進化,,,Steelix,大鋼蛇,steel(鋼、鋼鉄) + onyx(しまめのう、オニックス)
208.1,メガハガネール,,,,はがね,じめん,すなのちから,,,75,125,230,55,95,30,610,75 125 230 55 95 30 合計610,ORAS,ホウエン,6,てつへびポケモン,最終進化,通信進化,メガシンカ,,,,
209,ブルー,,,,フェアリー,,いかく,にげあし,びびり,60,80,50,40,40,30,300,60 80 50 40 40 30 合計300,GS,ジョウト,2,ようせいポケモン,進化前,,,,Snubbull,布魯,snub(鼻であしらう) + bulldog(ブルドッグ)
210,グランブル,,,,フェアリー,,いかく,はやあし,びびり,90,120,75,60,60,45,450,90 120 75 60 60 45 合計450,GS,ジョウト,2,ようせいポケモン,最終進化,,,,Granbull,布魯皇,grumble(文句を言う) + bulldog(ブルドッグ)
211,ハリーセン,,,,みず,どく,どくのトゲ,すいすい,いかく,65,95,85,55,55,85,440,65 95 85 55 55 85 合計440,GS,ジョウト,2,ふうせんポケモン,進化前,,,,Qwilfish,千針魚,quill(トゲ) + fish(魚)
211.1,ハリーセン(ヒスイのすがた),ヒスイハリーセン,,,あく,どく,どくのトゲ,すいすい,いかく,65,95,85,55,55,85,440,65 95 85 55 55 85 合計440,LA,ヒスイ,8,ふうせんポケモン,進化前,,,リージョンフォーム,,,
212,ハッサム,,,,むし,はがね,むしのしらせ,テクニシャン,ライトメタル,70,130,100,55,80,65,500,70 130 100 55 80 65 合計500,GS,ジョウト,2,はさみポケモン,最終進化,通信進化,追加進化,,Scizor,巨鉗螳螂,scissors(ハサミ) + razor(カミソリ)
212.1,メガハッサム,,,,むし,はがね,テクニシャン,,,70,150,140,65,100,75,600,70 150 140 65 100 75 合計600,XY,カロス,6,はさみポケモン,最終進化,通信進化,メガシンカ,追加進化,,,
213,ツボツボ,,,,むし,いわ,がんじょう,くいしんぼう,あまのじゃく,20,10,230,10,230,5,505,20 10 230 10 230 5 合計505,GS,ジョウト,2,はっこうポケモン,進化しない,,,,Shuckle,壺壺,shuck(殻、皮) + barnacle(フジツボ)
214,ヘラクロス,,,,むし,かくとう,むしのしらせ,こんじょう,じしんかじょう,80,125,75,40,95,85,500,80 125 75 40 95 85 合計500,GS,ジョウト,2,1ぽんヅノポケモン,進化しない,,,,Heracross,赫拉克羅斯,Heracles(ヘラクレス) + cross(クロス、十字架)
214.1,メガヘラクロス,,,,むし,かくとう,スキルリンク,,,80,185,115,40,105,75,600,80 185 115 40 105 75 合計600,XY,カロス,6,1ぽんヅノポケモン,進化しない,,メガシンカ,,,,
215,ニューラ,,,,あく,こおり,せいしんりょく,するどいめ,わるいてぐせ,55,95,55,35,75,115,430,55 95 55 35 75 115 合計430,GS,ジョウト,2,かぎづめポケモン,進化前,,,,Sneasel,狃拉,sneaky(卑劣な、こそこそする) + weasel(イタチ、ずるい人)
215.1,ニューラ(ヒスイのすがた),ヒスイニューラ,,,かくとう,どく,せいしんりょく,するどいめ,わるいてぐせ,55,95,55,35,75,115,430,55 95 55 35 75 115 合計430,LA,ヒスイ,8,かぎづめポケモン,進化前,,リージョンフォーム,,,,
216,ヒメグマ,,,,ノーマル,,ものひろい,はやあし,みつあつめ,60,80,50,50,50,40,330,60 80 50 50 50 40 合計330,GS,ジョウト,2,こぐまポケモン,進化前,,,,Teddiursa,熊寶寶,teddy bear (テディーベア) + Ursa Minor(小熊座)
217,リングマ,,,,ノーマル,,こんじょう,はやあし,きんちょうかん,90,130,75,75,75,55,500,90 130 75 75 75 55 合計500,GS,ジョウト,2,とうみんポケモン,中間進化,,,,Ursaring,圈圈熊,Ursa Major(大熊座) + ring(輪、指輪)
218,マグマッグ,,,,ほのお,,マグマのよろい,ほのおのからだ,くだけるよろい,40,40,40,70,40,20,250,40 40 40 70 40 20 合計250,GS,ジョウト,2,ようがんポケモン,進化前,,,,Slugma,熔岩蟲,slug(ナメクジ、怠け者) + magma(マグマ)
219,マグカルゴ,,,,ほのお,いわ,マグマのよろい,ほのおのからだ,くだけるよろい,60,50,120,90,80,30,430,60 50 120 90 80 30 合計430,GS,ジョウト,2,ようがんポケモン,最終進化,,,,Magcargo,熔岩蝸牛,magma(マグマ) + escargot(エスカルゴ)
220,ウリムー,,,,こおり,じめん,どんかん,ゆきがくれ,あついしぼう,50,50,40,30,30,50,250,50 50 40 30 30 50 合計250,GS,ジョウト,2,いのぶたポケモン,進化前,,,,Swinub,小山豬,swine(ブタ) + nub(小さなかたまり、要点)
221,イノムー,,,,こおり,じめん,どんかん,ゆきがくれ,あついしぼう,100,100,80,60,60,50,450,100 100 80 60 60 50 合計450,GS,ジョウト,2,いのししポケモン,中間進化,,,,Piloswine,長毛豬,pilose(有毛、有毛の) + swine(ブタ)
222,サニーゴ,,,,みず,いわ,はりきり,しぜんかいふく,さいせいりょく,65,55,95,65,95,35,410,65 55 95 65 95 35 合計410,GS,ジョウト,2,さんごポケモン,進化前,,,,Corsola,太陽珊瑚,coral(サンゴ) + solar(太陽の)
222.1,サニーゴ(ガラルのすがた),ガラルサニーゴ,,,ゴースト,,くだけるよろい,,のろわれボディ,60,55,100,65,100,30,410,60 55 100 65 100 30 合計410,SWSH,ガラル,8,さんごポケモン,進化前,,リージョンフォーム,,,,
223,テッポウオ,,,,みず,,はりきり,スナイパー,ムラっけ,35,65,35,65,35,65,300,35 65 35 65 35 65 合計300,GS,ジョウト,2,ふんしゃポケモン,進化前,,,,Remoraid,鐵炮魚,remora(コバンザメ) + raid(急襲、奇襲)
224,オクタン,,,,みず,,きゅうばん,スナイパー,ムラっけ,75,105,75,105,75,45,480,75 105 75 105 75 45 合計480,GS,ジョウト,2,ふんしゃポケモン,最終進化,,,,Octillery,章魚桶,"octopus(タコ) + artillery(大砲、砲術)	"
225,デリバード,,,,こおり,ひこう,やるき,はりきり,ふみん,45,55,45,65,45,75,330,45 55 45 65 45 75 合計330,GS,ジョウト,2,はこびやポケモン,進化しない,,,,Delibird,信使鳥,delivery(配達) + bird(鳥)
226,マンタイン,,,,みず,ひこう,すいすい,ちょすい,みずのベール,85,40,70,80,140,70,485,85 40 70 80 140 70 合計485,GS,ジョウト,2,カイトポケモン,最終進化,,,,Mantine,巨翅飛魚,manta ray(オニイトマキエイ) + marine(海)
227,エアームド,ムドー,,,はがね,ひこう,するどいめ,がんじょう,くだけるよろい,65,80,140,40,70,70,465,65 80 140 40 70 70 合計465,GS,ジョウト,2,よろいどりポケモン,進化しない,,,,Skarmory,盔甲鳥,sky(空、天空) + armory(兵器工場)
227.1,メガエアームド,,,,はがね,ひこう,,,,65,140,110,40,100,110,565,65 140 110 40 100 110 合計565,ZA,カロス,9,よろいどりポケモン,進化しない,メガシンカ,,,,,
228,デルビル,,,,あく,ほのお,はやおき,もらいび,きんちょうかん,45,60,30,80,50,65,330,45 60 30 80 50 65 合計330,GS,ジョウト,2,ダークポケモン,進化前,,,,Houndour,戴魯比,hound(猟犬) + dour(陰気な、むっつりした)
229,ヘルガー,,,,あく,ほのお,はやおき,もらいび,きんちょうかん,75,90,50,110,80,95,500,75 90 50 110 80 95 合計500,GS,ジョウト,2,ダークポケモン,最終進化,,,,Houndoom,黑魯加,hound(猟犬) + doom(破滅、悪い運命)
229.1,メガヘルガー,,,,あく,ほのお,サンパワー,,,75,90,90,140,90,115,600,75 90 90 140 90 115 合計600,XY,カロス,6,ダークポケモン,最終進化,,メガシンカ,,,,
230,キングドラ,グドラ,,,みず,ドラゴン,すいすい,スナイパー,しめりけ,75,95,95,95,95,85,540,75 95 95 95 95 85 合計540,GS,ジョウト,2,ドラゴンポケモン,最終進化,通信進化,追加進化,,Kingdra,刺龍王,king(王様、君主) + dragon(竜、ドラゴン)
231,ゴマゾウ,,,,じめん,,ものひろい,,すながくれ,90,60,60,40,40,40,330,90 60 60 40 40 40 合計330,GS,ジョウト,2,ながはなポケモン,進化前,,,,Phanpy,小小象,elephant(ゾウ) + pygmy(ごく小さい、小人)
232,ドンファン,,,,じめん,,がんじょう,,すながくれ,90,120,120,60,60,50,500,90 120 120 60 60 50 合計500,GS,ジョウト,2,よろいポケモン,最終進化,,,,Donphan,頓甲,mastdon(マストドン:昔のゾウ) + elephant(ゾウ)
233,ポリゴン2,ポリ2,おまる,,ノーマル,,トレース,ダウンロード,アナライズ,85,80,90,105,95,60,515,85 80 90 105 95 60 合計515,GS,ジョウト,2,バーチャルポケモン,中間進化,通信進化,追加進化,,Porygon2,多邊獸II,mastdon(マストドン:昔のゾウ) + elephant(ゾウ)
234,オドシシ,,,,ノーマル,,いかく,おみとおし,そうしょく,73,95,62,85,65,85,465,73 95 62 85 65 85 合計465,GS,ジョウト,2,おおツノポケモン,進化前,,,,Stantler,驚角鹿,stag(雄鹿) + antler(鹿の枝角)
235,ドーブル,,,,ノーマル,,マイペース,テクニシャン,ムラっけ,55,20,35,20,45,75,250,55 20 35 20 45 75 合計250,GS,ジョウト,2,おおツノポケモン,進化しない,,,,Smeargle,圖圖犬,smear(塗る、汚す、傷つける) + beagle(ビーグル)
236,バルキー,,,,かくとう,,こんじょう,ふくつのこころ,やるき,35,35,35,35,35,35,210,35 35 35 35 35 35 合計210,GS,ジョウト,2,けんかポケモン,進化前,ベイビィポケモン,,,Tyrogue,無畏小子,tyro(初心者、初学者) + rogue(悪党、いたずらっ子)
237,カポエラー,,,,かくとう,,いかく,テクニシャン,ふくつのこころ,50,95,95,35,110,70,455,50 95 95 35 110 70 合計455,GS,ジョウト,2,さかだちポケモン,最終進化,追加進化,,,Hitmontop,戰舞郎,hit(打つ) + monster(モンスター、怪物) + top(トップ、頂点)
238,ムチュール,,,,こおり,エスパー,どんかん,よちむ,うるおいボディ,45,30,15,85,65,65,305,45 30 15 85 65 65 合計305,GS,ジョウト,2,くちづけポケモン,進化前,ベイビィポケモン,,,Smoochum,迷唇娃,smooch(キス、キスをして抱き合う) + chum(仲良し、親友)
239,エレキッド,,,,でんき,,せいでんき,,やるき,45,63,37,65,55,95,360,45 63 37 65 55 95 合計360,GS,ジョウト,2,でんきポケモン,進化前,ベイビィポケモン,,,Elekid,電擊怪,electricity(電気) + kid(子供)
240,ブビィ,,,,ほのお,,ほのおのからだ,,やるき,45,75,37,70,55,83,365,45 75 37 70 55 83 合計365,GS,ジョウト,2,ひだねポケモン,進化前,ベイビィポケモン,,,Magby,鴨嘴寶寶,magma(マグマ) + baby(赤ちゃん)
